OBJECTID;Name;Address;Postcode;Ward;Toilet opening hours;Male (no. of);Urinals (no. of);Female (no. of);Unisex (no.of);Accessible (no. of);Accessibility info;Changing Place;Automatic opening door;Pull cord monitored (Y/N/Times);Radar Key;Baby change;Family Toilet;Automatic Public Convenience;Attended;Full Time Staffing;geo_shape;geo_point_2d
4;Brandon Hill Park - Public Conveniences;Great George Street, City Centre, Bristol;BS1 5PZ;Hotwells & Harbourside;Monday - Sunday 08.00 - 15.30, excluding Christmas Day;1;1;1;0;1;YES - Support rail, cubicle size 188 x 270cm, seat height 48cm, mirror, contrast skirting, non reflective wall, non-slip floors, accessible locks;N;N;no;N;Y;N;N;;N;"{""coordinates"": [-2.607472789568813, 51.45374213233456], ""type"": ""Point""}";51.45374213233456, -2.607472789568813
57;Barton Hill Settlement;41-43 Ducie Road;BS5 0AX;Lawrence Hill;Monday - Friday 9:00 - 16:00;2;;2;0;2;YES- toilet height 48cm, cubicle size 150cmx 210cm, contrasting walls and floor, hand rails, mirror;N;N;Yes- during open time;N;Y;N;N;Y;Y;"{""coordinates"": [-2.563674974700087, 51.4562494756259], ""type"": ""Point""}";51.4562494756259, -2.563674974700087
71;McDonald's - Hengrove Leisure Park;Hengrove Leisure Park, Hengrove Way;BS14 0HR;Hengrove & Whitchurch Park;07:00 - 23:00;Yes;?;Yes;;0;;N;;;;Yes;N;N;;N;"{""coordinates"": [-2.5886033962748014, 51.41680109233672], ""type"": ""Point""}";51.41680109233672, -2.5886033962748014
120;Grupo Lounge (Lounges);8 Canford Lane;BS9 3DH;Westbury-on-Trym & Henleaze;Mon- Sun 9am-11pm;1;;2;;1;YES- door width 85cm, cubicle size 220x130cm, seat height 48cm, handrails, mirror, contrasting floor wall,;;N;Yes during open times;N;Y;;N;;;"{""coordinates"": [-2.619315150197528, 51.49292183201815], ""type"": ""Point""}";51.49292183201815, -2.619315150197528
134;McDonald's - Avonmeads;Avonmeads Retail Park, St Philips Causeway;BS2 0SP;Lawrence Hill;06:00 - 23:00;Yes;?;Yes;;0;;N;;;;Yes;N;N;;N;"{""coordinates"": [-2.5603689727040835, 51.44718357349885], ""type"": ""Point""}";51.44718357349885, -2.5603689727040835
147;We the Curious - Cafe;Anchor Road, Bristol;BS1 5DB;Hotwells & Harbourside;Monday-Friday 10:00-17:00, (during term time), 10:00-18:00, weekends, bank holidays and Bristol school holidays;0;0;0;2;1;YES - Support rail door 90cm, Cubical size 220 x 168cm, Seat 48cm, non slip floor, large catch. Hoist;N;;yes;Y;Y;N;N;;N;"{""coordinates"": [-2.600487222378811, 51.450419442926425], ""type"": ""Point""}";51.450419442926425, -2.600487222378811
612;The Park, Daventry Road;Daventry Road, Knowle, Bristol;BS4 1DQ;Knowle;Monday-Friday 7:00-22.00, Saturday-Sunday 9:00-16:00;1;;3;;1;YES - Support rail moveable, door width 95cm, cubical size 220 x 242cm, height of seat 50cm, non reflecting wall, non slip floor;;;;;Y;;;;;"{""coordinates"": [-2.5814625422852884, 51.429724968128], ""type"": ""Point""}";51.429724968128, -2.5814625422852884
151;Cabot Circus Shopping Centre 3rd Floor Management Suite;Glass House, Broadmead;BS1 3BX;Central;Covid-19 update: open Monday-Saturday 09:00-20:15, Sunday 09:00-17:30;7;13;24;0;5;YES - 5 units, support rails, seat height is 36- 40cm, contracting skirting, non slip foor, non reflecting walls and floors;N;N;Y during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.585266544061064, 51.45784273970427], ""type"": ""Point""}";51.45784273970427, -2.585266544061064
70;Morrison's - Hartcliffe;Hareclive Road, Petersons Avenue, Hartcliffe;BS14 0BE;Hartcliffe & Withywood;7am - 10pm;2;3;3;;1;YES - Cubical size 140-200cm. Seat Height 48cm. handrails.;N;;Y during open hours;N;Y;N;N;Y;Y;"{""coordinates"": [-2.599634281854773, 51.40520040398443], ""type"": ""Point""}";51.40520040398443, -2.599634281854773
6481;Bedminster Library;4, St Peters Court, Bedminster Parade, Bedminster, Bristol;BS3 4AQ;Southville;Monday, Wednesday 10am - 7pm, Thursday, Friday, Saturday 10am - 5pm, Closed Tuesday and Sunday.;0;0;0;1;1;Radar key required. Door width 93cm, cubicle 230x198cm, seat hight 48cm, Handrails. Low level lighting;;N;;Y;Y;N;N;N;;"{""coordinates"": [-2.593713439425774, 51.44426543770273], ""type"": ""Point""}";51.44426543770273, -2.593713439425774
